batter,batsman_runs,balls_faced,strike_rate
RA Jadeja,2959,2280,129.78070175438597
AK Markram,995,767,129.72620599739244
SW Billings,503,388,129.63917525773198
DJ Bravo,1560,1204,129.56810631229237
DJ Hooda,1466,1132,129.5053003533569
STR Binny,880,683,128.84333821376282
SPD Smith,2495,1945,128.2776349614396
Azhar Mahmood,388,303,128.05280528052805
AJ Finch,2092,1635,127.95107033639144
CL White,971,760,127.76315789473685
KK Nair,1496,1171,127.75405636208367
MR Marsh,665,521,127.6391554702495
WP Saha,2934,2300,127.56521739130436
AT Rayudu,4348,3409,127.54473452625403
SS Iyer,3131,2455,127.5356415478615
MV Boucher,394,309,127.50809061488673
CJ Anderson,538,423,127.18676122931443
S Dhawan,6769,5326,127.09350356740518
MC Henriques,1000,788,126.90355329949239
LMP Simmons,1079,852,126.6431924882629
P Negi,365,289,126.29757785467129
S Sohal,368,292,126.02739726027397
AD Mathews,724,575,125.91304347826086
KS Williamson,2132,1697,125.63347083087801
BJ Hodge,1400,1118,125.22361359570662
SA Asnodkar,423,339,124.7787610619469
Shakib Al Hasan,795,639,124.4131455399061
AP Tare,339,273,124.17582417582418
JP Duminy,2029,1636,124.02200488997555
G Gambhir,4217,3404,123.88366627497062
LRPL Taylor,1017,822,123.72262773722629
DPMD Jayawardene,1808,1464,123.49726775956285
AM Rahane,4642,3761,123.42462111140655
D Padikkal,1559,1266,123.1437598736177
KM Jadhav,1208,981,123.13965341488277
DJ Hussey,1322,1075,122.97674418604652
Mandeep Singh,1706,1388,122.91066282420748
LA Pomersbach,302,246,122.76422764227641
JO Holder,259,211,122.74881516587676
HV Patel,249,203,122.66009852216749
MEK Hussey,1977,1612,122.64267990074443
EJG Morgan,1406,1148,122.47386759581882
DJG Sammy,295,241,122.40663900414938
GJ Bailey,663,544,121.875
Shahbaz Ahmed,536,440,121.81818181818183
M Vijay,2619,2150,121.81395348837209
MK Pandey,3859,3183,121.2378259503613
KC Sangakkara,1687,1392,121.19252873563218
Gurkeerat Singh,511,422,121.09004739336493
IK Pathan,1150,950,121.05263157894737
PC Valthaty,505,418,120.8133971291866
PA Patel,2848,2358,120.78032230703985
R Bhatia,342,284,120.4225352112676
SS Tiwary,1494,1244,120.09646302250805
SR Tendulkar,2334,1948,119.81519507186857
KV Sharma,351,294,119.38775510204083
Anuj Rawat,318,267,119.10112359550563
S Badrinath,1441,1212,118.8943894389439
R Ashwin,800,675,118.5185185185185
NV Ojha,1554,1313,118.35491241431835
DB Ravi Teja,375,317,118.29652996845425
Y Venugopal Rao,985,836,117.82296650717703
TL Suman,676,575,117.56521739130434
RS Bopara,531,453,117.21854304635761
MK Tiwary,1695,1449,116.97722567287785
R Sathish,270,231,116.88311688311688
DB Das,304,261,116.47509578544062
AM Nayar,672,577,116.46447140381282
Washington Sundar,378,325,116.3076923076923
LR Shukla,405,350,115.71428571428572
DT Christian,460,398,115.57788944723617
R Dravid,2174,1882,115.5154091392136
TM Dilshan,1153,1007,114.49851042701091
MD Mishra,237,208,113.9423076923077
J Botha,409,359,113.9275766016713
MS Bisla,798,702,113.67521367521367
PK Garg,273,241,113.27800829875518
R Vinay Kumar,310,274,113.13868613138686
AL Menaria,401,356,112.64044943820224
B Chipli,280,251,111.55378486055776
PP Chawla,624,563,110.8348134991119
GC Smith,739,668,110.62874251497006
Y Nagar,285,259,110.03861003861005
HH Gibbs,886,807,109.78934324659231
M Manhas,514,470,109.36170212765957
JH Kallis,2427,2222,109.22592259225922
JEC Franklin,327,301,108.63787375415282
P Kumar,340,314,108.28025477707006
SC Ganguly,1349,1263,106.80918448139352
VVS Laxman,282,267,105.61797752808988
Lalit Yadav,305,290,105.17241379310344
M Kaif,259,250,103.60000000000001
UT Yadav,208,201,103.48258706467661
AA Jhunjhunwala,217,210,103.33333333333334
UBT Chand,300,300,100.0
CA Pujara,390,391,99.74424552429667
SP Goswami,293,295,99.32203389830508
K Goel,218,231,94.37229437229438
B Kumar,306,326,93.86503067484662
SK Warne,198,214,92.5233644859813
A Mishra,381,419,90.9307875894988
GH Vihari,284,321,88.47352024922118
Kuldeep Yadav,183,216,84.72222222222221
